,Pattern,Metric,Value
0,P1,Reward,-2878.0
1,P1,Reward,-3799.0
2,P1,Reward,-3364.0
3,P1,Reward,-2214.0
4,P1,Reward,-3361.0
5,P1,Reward,-2403.0
6,P1,Reward,-2321.0
7,P1,Reward,-5434.0
8,P1,Reward,-4778.0
9,P1,Reward,-3137.0
10,P1,Reward,-2318.0
11,P1,Reward,-2227.0
12,P1,Reward,-2036.0
13,P1,Reward,-2588.0
14,P1,Reward,-2511.0
15,P1,Reward,-2109.0
16,P1,Reward,-3321.0
17,P1,Reward,-2180.0
18,P1,Reward,-3923.0
19,P1,Reward,-2211.0
20,P1,Reward,-1982.0
21,P1,Reward,-2778.0
22,P1,Reward,-3658.0
23,P1,Reward,-3382.0
24,P1,Reward,-3631.0
25,P1,Reward,-3975.0
26,P1,Reward,-1981.0
27,P1,Reward,-3442.0
28,P1,Reward,-2956.0
29,P1,Reward,-3266.0
30,P1,Reward,-3716.0
31,P1,Reward,-2944.0
32,P1,Reward,-3009.0
33,P1,Reward,-2163.0
34,P1,Reward,-3814.0
35,P1,Reward,-4731.0
36,P1,Reward,-2207.0
37,P1,Reward,-2202.0
38,P1,Reward,-2933.0
39,P1,Reward,-3083.0
40,P1,Reward,-3143.0
41,P1,Reward,-2329.0
42,P1,Reward,-2387.0
43,P1,Reward,-3131.0
44,P1,Reward,-2282.0
45,P1,Reward,-2859.0
46,P1,Reward,-5294.0
47,P1,Reward,-3118.0
48,P1,Reward,-2556.0
49,P1,Reward,-2952.0
50,P1,Reward,-2602.0
51,P1,Reward,-2411.0
52,P1,Reward,-3755.0
53,P1,Reward,-2354.0
54,P1,Reward,-2546.0
55,P1,Reward,-2509.0
56,P1,Reward,-4309.0
57,P1,Reward,-3189.0
58,P1,Reward,-2057.0
59,P1,Reward,-3979.0
60,P1,Reward,-4057.0
61,P1,Reward,-3106.0
62,P1,Reward,-2433.0
63,P1,Reward,-2964.0
64,P1,Reward,-3465.0
65,P1,Reward,-2124.0
66,P1,Reward,-2557.0
67,P1,Reward,-4185.0
68,P1,Reward,-2456.0
69,P1,Reward,-2602.0
70,P1,Reward,-3491.0
71,P1,Reward,-2267.0
72,P1,Reward,-2146.0
73,P1,Reward,-2343.0
74,P1,Reward,-2238.0
75,P1,Reward,-2198.0
76,P1,Reward,-1662.0
77,P1,Reward,-2722.0
78,P1,Reward,-2724.0
79,P1,Reward,-2062.0
80,P1,Reward,-2793.0
81,P1,Reward,-3326.0
82,P1,Reward,-2456.0
83,P1,Reward,-1971.0
84,P1,Reward,-3279.0
85,P1,Reward,-2773.0
86,P1,Reward,-3839.0
87,P1,Reward,-3761.0
88,P1,Reward,-2211.0
89,P1,Reward,-4002.0
90,P1,Reward,-3711.0
91,P1,Reward,-2560.0
92,P1,Reward,-2425.0
93,P1,Reward,-1647.0
94,P1,Reward,-2538.0
95,P1,Reward,-2348.0
96,P1,Reward,-2325.0
97,P1,Reward,-3319.0
98,P1,Reward,-2031.0
99,P1,Reward,-2327.0
100,P1,Avg Wait,26.8188581314879
101,P1,Avg Wait,32.767982456140345
102,P1,Avg Wait,29.980011454753765
103,P1,Avg Wait,20.87270668176671
104,P1,Avg Wait,30.125224215246618
105,P1,Avg Wait,21.994672586015575
106,P1,Avg Wait,22.345394736842113
107,P1,Avg Wait,43.76504237288139
108,P1,Avg Wait,40.22038461538461
109,P1,Avg Wait,28.41411698537683
110,P1,Avg Wait,22.680187573270786
111,P1,Avg Wait,21.733533653846152
112,P1,Avg Wait,20.20078313253013
113,P1,Avg Wait,23.207491856677528
