,Pattern,Metric,Value
0,P1,Reward,-1240.0
1,P1,Reward,-1439.0
2,P1,Reward,-1322.0
3,P1,Reward,-1203.0
4,P1,Reward,-1299.0
5,P1,Reward,-1217.0
6,P1,Reward,-1505.0
7,P1,Reward,-1513.0
8,P1,Reward,-1508.0
9,P1,Reward,-1415.0
10,P1,Reward,-1205.0
11,P1,Reward,-1488.0
12,P1,Reward,-1499.0
13,P1,Reward,-1353.0
14,P1,Reward,-1613.0
15,P1,Reward,-1353.0
16,P1,Reward,-1319.0
17,P1,Reward,-1386.0
18,P1,Reward,-1326.0
19,P1,Reward,-1320.0
20,P1,Reward,-1627.0
21,P1,Reward,-1247.0
22,P1,Reward,-1315.0
23,P1,Reward,-1427.0
24,P1,Reward,-1422.0
25,P1,Reward,-1290.0
26,P1,Reward,-1661.0
27,P1,Reward,-1260.0
28,P1,Reward,-1443.0
29,P1,Reward,-1288.0
30,P1,Reward,-1451.0
31,P1,Reward,-1553.0
32,P1,Reward,-1495.0
33,P1,Reward,-1500.0
34,P1,Reward,-1469.0
35,P1,Reward,-1557.0
36,P1,Reward,-1333.0
37,P1,Reward,-1185.0
38,P1,Reward,-1859.0
39,P1,Reward,-1191.0
40,P1,Reward,-1657.0
41,P1,Reward,-1424.0
42,P1,Reward,-1314.0
43,P1,Reward,-1446.0
44,P1,Reward,-1484.0
45,P1,Reward,-1534.0
46,P1,Reward,-1262.0
47,P1,Reward,-1511.0
48,P1,Reward,-1360.0
49,P1,Reward,-1526.0
50,P1,Reward,-1385.0
51,P1,Reward,-1129.0
52,P1,Reward,-1539.0
53,P1,Reward,-1492.0
54,P1,Reward,-1494.0
55,P1,Reward,-1280.0
56,P1,Reward,-1257.0
57,P1,Reward,-1232.0
58,P1,Reward,-1482.0
59,P1,Reward,-1357.0
60,P1,Reward,-1454.0
61,P1,Reward,-1429.0
62,P1,Reward,-1497.0
63,P1,Reward,-1334.0
64,P1,Reward,-1301.0
65,P1,Reward,-1425.0
66,P1,Reward,-1384.0
67,P1,Reward,-1331.0
68,P1,Reward,-1410.0
69,P1,Reward,-1411.0
70,P1,Reward,-1258.0
71,P1,Reward,-1314.0
72,P1,Reward,-1304.0
73,P1,Reward,-1165.0
74,P1,Reward,-1407.0
75,P1,Reward,-1330.0
76,P1,Reward,-1343.0
77,P1,Reward,-1455.0
78,P1,Reward,-1426.0
79,P1,Reward,-1455.0
80,P1,Reward,-1638.0
81,P1,Reward,-1496.0
82,P1,Reward,-1188.0
83,P1,Reward,-2114.0
84,P1,Reward,-1161.0
85,P1,Reward,-1693.0
86,P1,Reward,-1194.0
87,P1,Reward,-1498.0
88,P1,Reward,-1285.0
89,P1,Reward,-1427.0
90,P1,Reward,-1516.0
91,P1,Reward,-1682.0
92,P1,Reward,-1615.0
93,P1,Reward,-1356.0
94,P1,Reward,-1377.0
95,P1,Reward,-1418.0
96,P1,Reward,-1651.0
97,P1,Reward,-1321.0
98,P1,Reward,-1436.0
99,P1,Reward,-1354.0
100,P1,Avg Wait,11.721153846153848
101,P1,Avg Wait,12.298286937901505
102,P1,Avg Wait,12.28819523269013
103,P1,Avg Wait,11.24250851305335
104,P1,Avg Wait,12.447882352941184
105,P1,Avg Wait,11.462950058072007
106,P1,Avg Wait,13.427445652173907
107,P1,Avg Wait,14.531146572104024
108,P1,Avg Wait,13.747798377752021
109,P1,Avg Wait,12.763656633221832
110,P1,Avg Wait,11.228205128205119
111,P1,Avg Wait,13.454772475027736
112,P1,Avg Wait,12.962012987012985
113,P1,Avg Wait,12.261979752530953
114,P1,Avg Wait,14.234151785714305
115,P1,Avg Wait,12.60668202764978
116,P1,Avg Wait,12.120715096481279
117,P1,Avg Wait,13.376033057851247
118,P1,Avg Wait,11.963118527042576
119,P1,Avg Wait,12.365170454545462
120,P1,Avg Wait,14.581256952169065
121,P1,Avg Wait,11.899528301886788
122,P1,Avg Wait,12.528227699530513
123,P1,Avg Wait,13.032546082949299
124,P1,Avg Wait,13.922985781990532
125,P1,Avg Wait,12.257101280558773
126,P1,Avg Wait,14.661277777777768
127,P1,Avg Wait,12.211197604790426
128,P1,Avg Wait,13.427684563758394
129,P1,Avg Wait,11.99187643020596
130,P1,Avg Wait,13.484977324263028
131,P1,Avg Wait,13.882564377682407
132,P1,Avg Wait,12.938335158817086
133,P1,Avg Wait,14.163076036866343
134,P1,Avg Wait,13.398985343855696
135,P1,Avg Wait,13.807491856677535
136,P1,Avg Wait,12.860905840286046
137,P1,Avg Wait,11.97906976744187
138,P1,Avg Wait,15.827398720682302
139,P1,Avg Wait,11.613095238095232
