,Pattern,Metric,Value
0,P1,Reward,-1212.0
1,P1,Reward,-1234.0
2,P1,Reward,-1214.0
3,P1,Reward,-1352.0
4,P1,Reward,-1105.0
5,P1,Reward,-1208.0
6,P1,Reward,-1213.0
7,P1,Reward,-1367.0
8,P1,Reward,-1435.0
9,P1,Reward,-1104.0
10,P1,Reward,-1381.0
11,P1,Reward,-1627.0
12,P1,Reward,-1389.0
13,P1,Reward,-1197.0
14,P1,Reward,-1460.0
15,P1,Reward,-1425.0
16,P1,Reward,-1308.0
17,P1,Reward,-1327.0
18,P1,Reward,-1303.0
19,P1,Reward,-1550.0
20,P1,Reward,-1364.0
21,P1,Reward,-1228.0
22,P1,Reward,-1445.0
23,P1,Reward,-1159.0
24,P1,Reward,-1348.0
25,P1,Reward,-1159.0
26,P1,Reward,-1425.0
27,P1,Reward,-1225.0
28,P1,Reward,-1110.0
29,P1,Reward,-1441.0
30,P1,Reward,-1265.0
31,P1,Reward,-1308.0
32,P1,Reward,-1361.0
33,P1,Reward,-1385.0
34,P1,Reward,-1498.0
35,P1,Reward,-1425.0
36,P1,Reward,-1341.0
37,P1,Reward,-1327.0
38,P1,Reward,-1134.0
39,P1,Reward,-1052.0
40,P1,Reward,-1363.0
41,P1,Reward,-1359.0
42,P1,Reward,-1452.0
43,P1,Reward,-1277.0
44,P1,Reward,-1230.0
45,P1,Reward,-1154.0
46,P1,Reward,-1238.0
47,P1,Reward,-1319.0
48,P1,Reward,-1622.0
49,P1,Reward,-985.0
50,P1,Reward,-1154.0
51,P1,Reward,-1320.0
52,P1,Reward,-1137.0
53,P1,Reward,-1201.0
54,P1,Reward,-1206.0
55,P1,Reward,-1298.0
56,P1,Reward,-1396.0
57,P1,Reward,-1264.0
58,P1,Reward,-1126.0
59,P1,Reward,-1172.0
60,P1,Reward,-1540.0
61,P1,Reward,-1259.0
62,P1,Reward,-1375.0
63,P1,Reward,-1169.0
64,P1,Reward,-1441.0
65,P1,Reward,-1502.0
66,P1,Reward,-1260.0
67,P1,Reward,-1266.0
68,P1,Reward,-1355.0
69,P1,Reward,-1283.0
70,P1,Reward,-1394.0
71,P1,Reward,-1295.0
72,P1,Reward,-1607.0
73,P1,Reward,-1276.0
74,P1,Reward,-1428.0
75,P1,Reward,-1273.0
76,P1,Reward,-1320.0
77,P1,Reward,-1422.0
78,P1,Reward,-1170.0
79,P1,Reward,-1348.0
80,P1,Reward,-1264.0
81,P1,Reward,-1222.0
82,P1,Reward,-1344.0
83,P1,Reward,-1246.0
84,P1,Reward,-1269.0
85,P1,Reward,-1493.0
86,P1,Reward,-1299.0
87,P1,Reward,-1224.0
88,P1,Reward,-1422.0
89,P1,Reward,-1171.0
90,P1,Reward,-1263.0
91,P1,Reward,-1410.0
92,P1,Reward,-1256.0
93,P1,Reward,-1259.0
94,P1,Reward,-1458.0
95,P1,Reward,-1187.0
96,P1,Reward,-1461.0
97,P1,Reward,-1422.0
98,P1,Reward,-1472.0
99,P1,Reward,-1358.0
100,P1,Avg Wait,11.012846068660007
101,P1,Avg Wait,11.349245939675164
102,P1,Avg Wait,11.878994082840222
103,P1,Avg Wait,11.857688172043003
104,P1,Avg Wait,11.277300242130737
105,P1,Avg Wait,11.752721893491138
106,P1,Avg Wait,11.235440180586902
107,P1,Avg Wait,12.213781697905185
108,P1,Avg Wait,12.623755411255395
109,P1,Avg Wait,10.766646848989296
110,P1,Avg Wait,12.775139043381536
111,P1,Avg Wait,14.42149220489978
112,P1,Avg Wait,12.809500000000002
113,P1,Avg Wait,11.14728199320499
114,P1,Avg Wait,13.187499999999995
115,P1,Avg Wait,12.692424242424247
116,P1,Avg Wait,12.043388888888893
117,P1,Avg Wait,12.652965599051013
118,P1,Avg Wait,12.593159806295406
119,P1,Avg Wait,14.220657015590211
120,P1,Avg Wait,12.267973124300108
121,P1,Avg Wait,11.630795847750852
122,P1,Avg Wait,13.32342541436465
123,P1,Avg Wait,10.907003444316894
124,P1,Avg Wait,12.08306277056278
125,P1,Avg Wait,10.689966740576487
126,P1,Avg Wait,12.692424242424247
127,P1,Avg Wait,12.07068965517242
128,P1,Avg Wait,11.012351543943003
129,P1,Avg Wait,13.116758849557526
130,P1,Avg Wait,12.351126927639385
131,P1,Avg Wait,11.953673245614047
132,P1,Avg Wait,12.321241457858768
133,P1,Avg Wait,12.846098104793773
134,P1,Avg Wait,13.427088036117373
135,P1,Avg Wait,13.322979214780588
136,P1,Avg Wait,13.00581683168317
137,P1,Avg Wait,12.016334440753045
138,P1,Avg Wait,10.697573964497067
139,P1,Avg Wait,10.11358823529412
140,P1,Avg Wait,12.551431718061663
141,P1,Avg Wait,11.646405228758164
142,P1,Avg Wait,13.02282608695652
143,P1,Avg Wait,11.636812570145892
144,P1,Avg Wait,11.00640043763676
145,P1,Avg Wait,11.09318181818181
146,P1,Avg Wait,11.557415730337079
147,P1,Avg Wait,12.370364050056876
148,P1,Avg Wait,13.26612565445025
149,P1,Avg Wait,9.642335329341318
150,P1,Avg Wait,11.20965639810427
151,P1,Avg Wait,12.177272727272728
152,P1,Avg Wait,10.990786384976523
153,P1,Avg Wait,10.882823129251701
154,P1,Avg Wait,11.044775280898868
155,P1,Avg Wait,11.96835585585587
156,P1,Avg Wait,11.85809822361546
157,P1,Avg Wait,11.883560864618879
158,P1,Avg Wait,10.707970183486237
159,P1,Avg Wait,10.89327925840094
160,P1,Avg Wait,13.862844542447627
161,P1,Avg Wait,11.577008928571432
162,P1,Avg Wait,12.169934640522863
163,P1,Avg Wait,11.262629757785485
164,P1,Avg Wait,12.309556494192178
165,P1,Avg Wait,13.783914510686174
166,P1,Avg Wait,11.685393258426965
167,P1,Avg Wait,11.571012101210128
168,P1,Avg Wait,12.775711035267346
169,P1,Avg Wait,12.19385150812066
170,P1,Avg Wait,12.538402625820565
